City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,78.53,light rain,-9.8,-139.03,Villa Enata
5,Kamina,CD,83.73,clear sky,-8.74,24.99,Guest House la Grace
10,Bac Lieu,VN,87.49,moderate rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
11,Dakar,SN,82.4,scattered clouds,14.69,-17.44,Novotel Dakar
13,Sur,OM,89.89,clear sky,22.57,59.53,Sur Plaza Hotel
25,Gizo,SB,83.73,light rain,-8.1,156.84,Imagination Island
26,Douentza,ML,78.89,overcast clouds,15.0,-2.95,Ogomono Doumbo
30,Saint-Leu,RE,75.2,scattered clouds,-21.15,55.28,La Caz Oceane
32,Kamaishi,JP,87.8,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
34,Butaritari,KI,82.36,overcast clouds,3.07,172.79,Isles Sunset Lodge
35,Kudahuvadhoo,MV,84.47,few clouds,2.67,72.89,Kudahuvadhoo Retreat
36,Saint George,US,84.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
39,Banepa,NP,84.2,scattered clouds,27.63,85.52,Dhulikhel Lodge Resort
40,Lorengau,PG,82.09,light rain,-2.02,147.27,Lorengau Harbourside Hotel
41,San Policarpo,PH,86.0,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
49,Sao Filipe,CV,77.41,clear sky,14.9,-24.5,Tortuga B&B
54,Cabo San Lucas,MX,81.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
55,Awjilah,LY,81.79,clear sky,29.11,21.29,
56,Nouakchott,MR,82.4,scattered clouds,18.09,-15.98,Hôtel Iman
61,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
64,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
67,Karratha,AU,89.74,clear sky,-20.74,116.85,ibis Styles Karratha
69,Beloha,MG,79.38,clear sky,-25.17,45.05,
70,Hithadhoo,MV,83.57,overcast clouds,-0.6,73.08,Scoop Guest House
73,Saint-Pierre,RE,75.2,scattered clouds,-21.34,55.48,Lindsey Hôtel
74,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
75,Katsuura,JP,89.01,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
79,Yamada,JP,78.53,scattered clouds,39.47,141.95,Iroha-ya Inn
90,Filingue,NE,76.62,overcast clouds,14.35,3.32,
91,Bambous Virieux,MU,75.2,shower rain,-20.34,57.76,Casa Tia Villa
94,Oistins,BB,82.4,shower rain,13.07,-59.53,Butterfly Beach Hotel
105,Bathsheba,BB,82.4,shower rain,13.22,-59.52,Atlantis Hotel
106,Canakkale,TR,78.8,few clouds,40.08,26.83,
108,Hobyo,SO,82.96,overcast clouds,5.35,48.53,Osmani Hotel
112,Montrose,US,75.2,clear sky,38.42,-108.27,
113,La Asuncion,VE,82.4,overcast clouds,11.03,-63.86,Colinas de Matasiete
114,Kralendijk,BQ,82.4,overcast clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
116,Hamilton,US,77.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
119,Faanui,PF,77.05,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
124,Nishihara,JP,87.8,light intensity shower rain,26.18,127.76,Minshuku Agaihama
125,Luba,GQ,75.2,broken clouds,3.46,8.55,
131,Omboue,GA,75.88,overcast clouds,-1.57,9.26,Hotel Olako
134,Alamogordo,US,78.8,clear sky,32.9,-105.96,Fairfield Inn & Suites by Marriott Alamogordo
138,Wokha,IN,75.99,light rain,26.1,94.27,Ora Lodge
139,Celestun,MX,80.1,overcast clouds,20.87,-90.4,Posada Lilia
143,Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
144,Harper,LR,75.33,overcast clouds,4.38,-7.72,Screensaver
147,Urgut,UZ,78.8,broken clouds,39.4,67.24,Qora tepa
152,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
154,Laguna,US,75.99,smoke,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
157,Shimoda,JP,84.2,few clouds,34.67,138.95,Shimoda Tokyu Hotel
161,Abinsk,RU,82.4,clear sky,44.87,38.16,Hotel Evropa
162,Alice Springs,AU,87.8,clear sky,-23.7,133.88,Desert Palms Alice Springs
164,Katobu,ID,86.88,few clouds,-4.94,122.53,La Ode Husein
167,Kapaa,US,78.8,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
168,Kloulklubed,PW,86.0,overcast clouds,7.04,134.26,Storyboard Beach Resort
173,Tura,IN,84.94,moderate rain,25.52,90.22,Hotel RIKMAN Continental
175,Mount Isa,AU,86.0,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
178,Fukue,JP,87.8,scattered clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
181,Bardiyah,LY,80.35,clear sky,31.76,25.09,بورتو بردية
