WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,66.99,36,41,6.06,scattered clouds
1,Vanavara,RU,60.34,102.28,70.52,38,95,7.34,overcast clouds
2,Upernavik,GL,72.79,-56.15,42.69,86,100,5.3,overcast clouds
3,Kaitangata,NZ,-46.28,169.85,41.0,72,68,11.01,broken clouds
4,Atuona,PF,-9.8,-139.03,78.53,76,10,14.07,light rain
5,Kamina,CD,-8.74,24.99,83.73,35,0,0.89,clear sky
6,Marquette,US,46.53,-87.63,69.01,93,1,5.53,clear sky
7,Ribeira Grande,PT,38.52,-28.7,73.4,94,75,10.29,broken clouds
8,Longyearbyen,SJ,78.22,15.64,39.2,64,20,6.93,few clouds
9,Puerto Ayora,EC,-0.74,-90.35,66.99,90,100,9.91,overcast clouds
10,Bac Lieu,VN,9.29,105.72,87.49,69,43,13.13,moderate rain
11,Dakar,SN,14.69,-17.44,82.4,83,40,6.93,scattered clouds
12,Punta Arenas,CL,-53.15,-70.92,32.0,92,15,13.87,few clouds
13,Sur,OM,22.57,59.53,89.89,54,0,8.72,clear sky
14,Port Lincoln,AU,-34.73,135.87,54.68,64,58,10.11,broken clouds
15,Albany,US,42.6,-73.97,72.0,89,100,3.74,overcast clouds
16,Castro,BR,-24.79,-50.01,44.44,96,34,7.58,scattered clouds
17,Sao Joao Da Barra,BR,-21.64,-41.05,62.06,80,0,14.14,clear sky
18,Saskylakh,RU,71.92,114.08,62.89,44,100,13.87,overcast clouds
19,Tuktoyaktuk,CA,69.45,-133.04,46.85,80,0,8.77,clear sky
20,La Ronge,CA,55.1,-105.28,55.4,87,90,14.99,overcast clouds
21,Kodiak,US,57.79,-152.41,57.2,58,75,10.29,broken clouds
22,Agnibilekrou,CI,7.13,-3.2,68.72,93,100,4.03,overcast clouds
23,Kitui,KE,-1.37,38.01,71.96,47,8,11.88,clear sky
24,Bluff,NZ,-46.6,168.33,45.0,72,44,11.01,scattered clouds
25,Gizo,SB,-8.1,156.84,83.73,72,28,1.88,light rain
