City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Okato,NZ,2020-08-24 05:25:57,-39.2,173.88,57.99,66,68,1.99
1,Kismayo,SO,2020-08-24 05:25:57,-0.36,42.55,78.17,73,44,15.82
2,Pevek,RU,2020-08-24 05:25:57,69.7,170.31,38.28,95,100,3.58
3,Los Banos,PH,2020-08-24 05:25:57,14.17,121.18,91.0,66,100,16.11
4,Soyo,AO,2020-08-24 05:25:58,-6.13,12.37,72.75,90,75,5.35
5,Qaanaaq,GL,2020-08-24 05:25:58,77.48,-69.36,36.27,88,100,1.72
6,Hermanus,ZA,2020-08-24 05:25:58,-34.42,19.23,55.0,95,100,1.99
7,Chuy,UY,2020-08-24 05:25:58,-33.7,-53.46,54.09,92,0,11.25
8,Mao,ES,2020-08-24 05:25:59,39.89,4.27,73.4,60,20,6.93
9,Milas,TR,2020-08-24 05:25:59,37.32,27.78,69.8,60,0,3.36
10,Punta Arenas,CL,2020-08-24 05:23:41,-53.15,-70.92,33.8,69,8,18.34
11,Bredasdorp,ZA,2020-08-24 05:25:59,-34.53,20.04,55.4,93,100,3.36
12,Ponta Do Sol,PT,2020-08-24 05:21:23,32.67,-17.1,75.2,64,20,20.8
13,Busselton,AU,2020-08-24 05:26:00,-33.65,115.33,64.99,42,8,3.58
14,Dikson,RU,2020-08-24 05:21:26,73.51,80.55,46.36,80,0,13.87
15,Otterup,DK,2020-08-24 05:26:00,55.52,10.4,60.01,90,79,8.68
16,Hilo,US,2020-08-24 05:26:00,19.73,-155.09,80.6,74,90,3.36
17,Havelock,US,2020-08-24 05:24:25,34.88,-76.9,80.01,94,1,3.74
18,Kapaa,US,2020-08-24 05:26:01,22.08,-159.32,80.6,74,1,12.75
19,Luderitz,NA,2020-08-24 05:26:01,-26.65,15.16,53.83,76,0,9.46
20,Jamestown,US,2020-08-24 05:26:35,42.1,-79.24,66.99,88,1,5.82
21,Panlaitan,PH,2020-08-24 05:30:46,12.12,119.85,85.87,68,100,3.87
22,Ponnani,IN,2020-08-24 05:30:46,10.77,75.93,82.4,78,40,5.82
23,Pontian Kecil,MY,2020-08-24 05:30:46,1.48,103.39,87.8,70,40,6.93
24,Georgetown,MY,2020-08-24 05:30:46,5.41,100.34,89.6,62,20,5.82
25,Rabo De Peixe,PT,2020-08-24 05:30:46,37.8,-25.58,69.8,94,20,4.7
26,Vaini,TO,2020-08-24 05:30:47,-21.2,-175.2,75.83,85,0,12.95
27,Aragats,AM,2020-08-24 05:30:47,40.49,44.35,62.6,59,0,2.24
28,Agadez,NE,2020-08-24 05:30:47,19.75,10.25,85.21,46,72,7.87
29,Esperance,AU,2020-08-24 05:30:47,-33.87,121.9,59.0,87,90,12.75
30,Saldanha,ZA,2020-08-24 05:30:47,-33.01,17.94,50.0,93,94,4.7
31,Cape Town,ZA,2020-08-24 05:26:30,-33.93,18.42,57.0,93,75,17.22
32,Ushuaia,AR,2020-08-24 05:30:48,-54.8,-68.3,30.2,86,40,8.05
33,Torbay,CA,2020-08-24 05:30:48,47.67,-52.73,60.01,87,5,18.34
